Speaker Name,Affiliation,Abstract,Website
Letian Yang,University of Southern California,yang_letian.txt,https://www.marshall.usc.edu/people/letian-yang
Boxin Zhao,University of Chicago,zhao_boxin.txt,https://voices.uchicago.edu/boxinzhao/
Yanfei Zhou,University of Southern California,zhou_yanfei.txt,https://sites.google.com/usc.edu/yanfeizhou
John Cherian,Stanford University,cherian_john.txt,https://jjcherian.github.io/
Anav Sood,Stanford University,sood_anav.txt,https://profiles.stanford.edu/anav-sood
Tianmin Xie,University of Southern California,xie_tianmin.txt,https://www.marshall.usc.edu/personnel/tianmin-xie
