Location,Location link
Fertitta Hall (JFF),https://maps.usc.edu/?id=1928#!m/583477?share
University Club of USC,https://maps.usc.edu/?id=1928#!m/647089?share
Hoffman Hall (HOH),https://maps.usc.edu/?id=1928#!m/552510?share
