Session title,Speakers
Invited Session 1 (3 talks),Thomas Berrett; Timothy Cannings; Jean Feng
Invited Session 2 (3 talks),Nicole Pashley; José R. Zubizarreta; Jelena Bradic
Invited Session 3 (4 talks),Yuhua Zhu; Yichen Zhang; Annie Qu; Lan Wang
Invited Session 4 (4 talks),Jingyi Jessica Li; Lan Gao; Jose Angel Sanchez Gomez; Ana Maria Kenney
Invited Session 5 (3 talks),Cynthia Rush; Alessandro Rinaldo; Jane-Ling Wang
Invited Session 6 (3 talks),Miaoyan Wang; Snigdha Panigrahi; Yuqi Gu
Invited Session 7 (3 talks),Yaniv Romano; Zhimei Ren; Anna Neufeld
Invited Session 8 (3 talks),Yi Yu; Damla Senturk
