Speaker Name,Affiliation,Website,Abstract,Photo
John Cherian,Stanford University,https://jjcherian.github.io/,cherian_john.txt,cherian_john.jpg
Ron Li,"Author, Data Scientist",https://www.linkedin.com/in/rongpengli/,li_ron.txt,li_ron.jpg
Haoda Fu,Amgen,https://www.linkedin.com/in/haoda-fu-17a5256/,fu_haoda.txt,fu_haoda.jpg
