Speaker Name,Affiliation,Website,Abstract,Photo
Xihong Lin,Harvard University,https://www.hsph.harvard.edu/profile/xihong-lin/,lin_xihong.txt,lin_xihong.jpg
Richard Samworth,University of Cambridge,https://www.statslab.cam.ac.uk/~rjs57/,samworth_richard.txt,samworth_richard.jpg
Jianqing Fan,Princeton University,https://fan.princeton.edu/,fan_jianqing.txt,fan_jianqing.jpg
